date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-27 14:00:17,GoldmanSachs,,1,1,13,"#ICYMI: The shift to working from home has fast-forwarded the workplace into Enterprise 4.0, the next generation of enterprise software. $GS' Heather Bellini explains what will define this era: https://click.gs.com/s6mn",,,#ICYMI,1265643996237516806,https://twitter.com/GoldmanSachs/status/1265643996237516806
2020-05-27 13:00:18,GoldmanSachs,,0,1,9,"“I think that the network has been tested in a way that no one would have anticipated before.” - @BTGroup CEO Philip Jansen during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/jdmy",,@BTGroup,#TalksAtGS,1265628897263181825,https://twitter.com/GoldmanSachs/status/1265628897263181825
2020-05-27 12:46:03,GoldmanSachs,,6,2,5,"Tune in at 9am ET to hear $GS President and COO John Waldron speak at Bernstein’s 36th Annual Strategic Decisions Conference. Webcast and presentation details here:",,,,1265625311342989313,https://twitter.com/GoldmanSachs/status/1265625311342989313
2020-05-26 23:07:18,GoldmanSachs,,1,3,22,"How has the shift to working from home accelerated the next phase of enterprise software? Heather Bellini of $GS' Technology Research Group explains in this episode of The Daily Check-In: https://click.gs.com/8mea",,,,1265419266876112897,https://twitter.com/GoldmanSachs/status/1265419266876112897
2020-05-26 22:41:08,GoldmanSachs,,1,2,16,"Rich Friedman, chairman of $GS' Merchant Banking Division and co-chairman of the Board of Trustees for @MountSinaiNYC, discusses the newly launched #FitForTheFrontLine challenge: https://click.gs.com/ue9p cc @CNBC",,@MountSinaiNYC @CNBC,#FitForTheFrontLine,1265412684251566081,https://twitter.com/GoldmanSachs/status/1265412684251566081
2020-05-26 22:00:18,GoldmanSachs,,0,1,5,"“Looking forward, I think life's going to change dramatically for everybody.” - @BTGroup CEO Philip Jansen on the future of global connectivity during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/lfpg",,@BTGroup,#TalksAtGS,1265402406617186311,https://twitter.com/GoldmanSachs/status/1265402406617186311
2020-05-26 21:10:55,GoldmanSachs,,5,8,21,"Today, we're kicking off #FitForTheFrontLine, a challenge to help honor and raise awareness for health care workers. Show us your healthy activities and nominate your friends and family—any exercise counts! Learn more about the initiative: https://click.gs.com/9s9l",,,#FitForTheFrontLine,1265389978110111753,https://twitter.com/GoldmanSachs/status/1265389978110111753
2020-05-26 19:00:16,GoldmanSachs,,1,1,12,"How might the current challenges bring the world together to tackle climate change? Pulitzer Prize-winning author of “Upheaval” Jared Diamond discusses in an episode of #TalksAtGS: https://click.gs.com/ur2b",,,#TalksAtGS,1265357101066522625,https://twitter.com/GoldmanSachs/status/1265357101066522625
2020-05-26 18:00:17,GoldmanSachs,,0,1,5,"What’s keeping #smallbiz owners up at night? Dana White, founder and CEO of Paralee Boyd, a blow-dry salon in Detroit, tells her story: https://click.gs.com/re2r",,,#smallbiz,1265342004935999490,https://twitter.com/GoldmanSachs/status/1265342004935999490
2020-05-26 17:00:17,GoldmanSachs,,0,1,7,"How has #technology transformed the future of work? ""A World Without Work"" author @danielsusskind discusses in an episode of #TalksAtGS: https://click.gs.com/trfq",,@danielsusskind,#technology #TalksAtGS,1265326904686632960,https://twitter.com/GoldmanSachs/status/1265326904686632960
